id,name_en,name_ja,type_en,type_ja,ownership_en,ownership_ja,prefecture_en,prefecture_ja,city_en,city_ja,english_program_en,english_program_ja,scholarship_en,scholarship_ja,image,description_en,description_ja,image_source_page
1,OIC Osaka Information and Computer Science College,OIC 大阪情報コンピュータ専門学校,Vocational College,専門学校,Private,私立,Osaka,大阪府,Osaka City,大阪市,No,なし,Yes,あり,images/schools/1.jpg,"A vocational college offering programs in IT, game development, design, and business.",IT・ゲーム・デザイン・ビジネス分野を学べる専門学校。,images/schools/1.jpg
2,Toyota Kobe Automobile College,トヨタ神戸自動車大学校,Vocational College,専門学校,Private,私立,Hyogo,兵庫県,Kobe,神戸市,No,なし,Yes,あり,images/schools/2.jpg,A Toyota-affiliated vocational college offering automotive maintenance and technology programs.,自動車整備や自動車技術を学べるトヨタ系列の専門学校。,images/schools/2.jpg
3,Osaka Medical Secretary Welfare and IT College,大阪医療秘書福祉＆IT専門学校,Vocational College,専門学校,Private,私立,Osaka,大阪府,Osaka City,大阪市,No,なし,Yes,あり,images/schools/3.jpg,"A vocational college preparing students for careers in medical administration, welfare, and IT.",医療事務・福祉・IT関連の仕事を目指せる専門学校。,images/schools/3.jpg
4,Kansai College of Social Welfare,関西社会福祉専門学校,Vocational College,専門学校,Private,私立,Osaka,大阪府,Osaka City,大阪市,No,なし,Yes,あり,images/schools/4.jpg,A vocational school providing professional education in social welfare and caregiving.,社会福祉や介護分野の専門教育を行う学校。,images/schools/4.jpg
5,Kyoto University,京都大学,University,大学,National,国立,Kyoto,京都府,Kyoto City,京都市,Yes,あり,Yes,あり,images/schools/5.jpg,A national university in Kyoto offering education and research in education.,京都を代表する国立大学。幅広い学問分野で高度な教育・研究を行う。,images/schools/5.jpg
6,Osaka University,大阪大学,University,大学,National,国立,Osaka,大阪府,Suita,吹田市,Yes,あり,Yes,あり,images/schools/6.jpg,"A national university in Osaka offering education and research in medicine, dentistry, and pharmacy, science and engineering, humanities, social sciences and science and engineering.",大阪府にある国立大学。人文社会科学から医歯薬・理工系まで幅広い分野を学べる。,images/schools/6.jpg
7,Kobe University,神戸大学,University,大学,National,国立,Hyogo,兵庫県,Kobe,神戸市,Yes,あり,Yes,あり,images/schools/7.jpg,A national comprehensive university in Hyogo offering a broad range of academic fields.,兵庫県神戸市にある国立大学。文系・理系の幅広い学部を設置している。,images/schools/7.jpg
8,Osaka Metropolitan University,大阪公立大学,University,大学,Public,公立,Osaka,大阪府,Osaka City,大阪市,Yes,あり,Yes,あり,images/schools/8.jpg,A public university in Osaka offering education and research in environmental studies.,大阪府の公立大学。幅広い学問分野と研究環境を持つ総合大学。,images/schools/8.jpg
9,Doshisha University,同志社大学,University,大学,Private,私立,Kyoto,京都府,Kyoto City,京都市,Yes,あり,Yes,あり,images/schools/9.jpg,A private university in Kyoto offering education and research in international studies.,京都に本部を置く私立総合大学。多様な学部と国際交流の機会を提供している。,images/schools/9.jpg
10,Ritsumeikan University,立命館大学,University,大学,Private,私立,Kyoto,京都府,Kyoto City,京都市,Yes,あり,Yes,あり,images/schools/10.jpg,A private comprehensive university in Kyoto offering a broad range of academic fields.,京都・大阪・滋賀にキャンパスを持つ私立総合大学。,images/schools/10.jpg
